Authors,Title,Discipline,Source title
"Critchfield K.L., Thapa P., Panizo M.T., Conceição N.",Using interpersonal reconstructive therapy to address comorbid problems organized by attachment-based learning: The case of Don,,Journal of Clinical Psychology
Smaw E.D.,"Uterus collectors: The case for reproductive justice for African American, Native American, and Hispanic American female victims of eugenics programs in the United States",,Bioethics
"St. George S., Zeleznik J., Avila J., Schlauderaff M.",The need for paleoflood investigations on the American reach of the Red River of the North,,Holocene
"Faust A., Safrai Z.",Toward a quantitative history of ancient Israel: Burials as a test case,,Journal of Anthropological Archaeology
"Dötsch D., Deffner D., Schubö A.",Color me impressed: A partner's target feature captures visual attention,,Cognition
"Gałka M., Kołaczek P., Sim T.G., Knorr K.-H., Niedzielski P., Lewandowska A., Szczurek G.","Palaeoenvironmental conditions and human activity in the vicinity of the Grodzisko fortified settlement (central Europe, Poland) from the late-Neolithic to the Roman period",,Geoarchaeology
"Van Driel J., Van Drie J., Van Boxtel C.","Struggling with historical significance: Reasoning, reading, and writing processes",,European Journal of Applied Linguistics
Swerida J.,Revisiting ‘Settlement’: A case study of terminology and Early Bronze Age southeast Arabia,,Journal of Anthropological Archaeology
"Schulting R.J., Ramsey C.B., Scharlotta I., Richards M.P., Bazaliiskii V.I., Weber A.",Freshwater reservoir effects in Cis-Baikal: An overview,,Archaeological Research in Asia
Taylor N.A.,Hunter-gatherer or the other ethnographer? The artist in the age of historical reproduction,,Journal of Material Culture
"Marquardt W.H., Walker K.J., Thompson V.D., Savarese M., Roberts Thompson A.D., Newsom L.A.","Episodic complexity and the emergence of a coastal kingdom: Climate, cooperation, and coercion in Southwest Florida",,Journal of Anthropological Archaeology
"Perry S.L., Braunstein R., Gorski P.S., Grubbs J.B.",Historical Fundamentalism? Christian Nationalism and Ignorance About Religion in American Political History,,Journal for the Scientific Study of Religion
"Kennedy D.M., Risdon B.V., Woods J.L.D.","Holocene sea-level change and estuary infill in North West Nelson, central New Zealand",,Holocene
Hann C.,Economy and ethics in the cosmic process⋆,,Journal of the Royal Anthropological Institute
"Lee J., Jun C.-P., Yi S., Kim Y., Lee E., Kim D.",Modern pollen–climate relationships and their application for pollen-based quantitative climate reconstruction of the mid-Holocene on the southern Korean Peninsula,,Holocene
"Valtonen T., López-Pernas S., Saqr M., Vartiainen H., Sointu E.T., Tedre M.",The nature and building blocks of educational technology research,,Computers in Human Behavior
"Hung H.-C., Hartatik, Ma'rifat T.A., Simanjuntak T.",Mongol fleet on the way to Java: First archaeological remains from the Karimata Strait in Indonesia,,Archaeological Research in Asia
Fearn G.,The age of the manager is over? Shale gas fracking and the challenge to the post-political regime for English planning,,Political Geography
Vargas Y.,Artefacts from the Sabana’s Site: Attempt to Identify a Seventeenth-Century Shipwreck in Venezuela,,Journal of Maritime Archaeology
"Krause A., Wagner J., Redder A., Prediger S.","New migrants, new challenges?-Activating multilingual resources for understanding mathematics: Institutional and interactional factors",,European Journal of Applied Linguistics
"Valge M., Meitern R., Hõrak P.",Pubertal maturation is independent of family structure but daughters of divorced (but not dead) fathers start reproduction earlier,,Evolution and Human Behavior
Das R.J.,"What is Marxist geography today, or what is left of Marxist geography? [今天的马克思主义地理学是什么？马克思主义地理学还有什么？]",,Human Geography(United Kingdom)
Langgut D.,Mid-7th century BC human parasite remains from Jerusalem,,International Journal of Paleopathology
Valasek C.J.,"Divided Attention, Divided Self: Race and Dual-mind Theories in the History of Experimental Psychology",,Science Technology and Human Values
"Brancaleoni G., Shnaider S., Osipova E., Danukalova G., Kurbanov R., Deput E., Alisher kyzy S., Abdykanova A., Krajcarz M.T.","Depositional history of a talus cone in an arid intermontane basin in Central Asia: An interdisciplinary study at the Late Pleistocene–Late Holocene Obishir-I site, Kyrgyzstan",,Geoarchaeology
"Ferro-Vázquez C., Mallol C., Aldeias V.",Simply red? A systematic colour-based method for identifying archaeological fires,,Geoarchaeology
Parker L.,The Skin as Seen: Thinking Through Racialized Subjectivities and Pedagogy with Levinas,,Studies in Philosophy and Education
"Kamitsis I., Harms L., Bendall S.","The subjective effect of antipsychotic medication on trauma-related thoughts, emotions, and physical symptoms: A qualitative study with people who have experienced childhood trauma and psychosis",,"Psychology and Psychotherapy: Theory, Research and Practice"
"Zahavi D., Loidolt S.",Critical phenomenology and psychiatry,,Continental Philosophy Review
"Raz A.E., Nov-Klaiman T., Hashiloni-Dolev Y., Foth H., Schües C., Rehmann-Sutter C.","Comparing Germany and Israel regarding debates on policy-making at the beginning of life: PGD, NIPT and their paths of routinization [Vergleichende Untersuchung der Debatten in Deutschland und in Israel über politische Entscheidungsprozesse am Lebensanfang: PID, NIPT und ihr Weg zur Routinisierung]",,Ethik in der Medizin
Scherz P.,"Life as an Intelligence Test: Intelligence, Education, and Behavioral Genetics",,"Culture, Medicine and Psychiatry"
"Giles D.B., Stead V.","Big Data won’t feed the world: global agribusiness, digital imperialism, and the contested promises of a new Green Revolution",,Dialectical Anthropology
Shapiro L.,Global expressivism as global subjectivism,,Philosophical Studies
Hickman C.,Pine fresh: the cultural and medical context of pine scent in relation to health - from the forest to the home,,Medical Humanities
Foertsch S.,An Organizational Analysis of the Schismatic Church of Satan,,Review of Religious Research
Rossi N.,Hybrid lives: The digitally mediated identity of a Salvadoran adoptee in the United States: Vidas híbridas: La identidad digitalmente mediada de una persona salvadoreña adoptada en los Estados Unidos,,Latino Studies
Watts J.,"Land Reform, Henry Rider Haggard, and the Politics of Imperial Settlement, 1900-1920",,Historical Journal
"Damousi J., Nelli F., Nguyen Austen A., Toffoli A., Tomsic M.","Forced Migration, Oceanic Humanitarianism, and the Paradox of Danger and Saviour of a Vietnamese Refugee Boat Journey",,Historical Journal
Francks P.,"Industriousness and divergence: Living standards, housework and the Japanese diet in comparative historical perspective",,Australian Economic History Review
"Williams K., Hartley S., Anderson I.M., Birtwell K., Dowson M., Elliott R., Taylor P.",An ongoing process of reconnection: A qualitative exploration of mindfulness-based cognitive therapy for adults in remission from depression,,"Psychology and Psychotherapy: Theory, Research and Practice"
Penny S.,Sensorimotor debilities in digital cultures,,AI and Society
De Jong A.,Research in business history: From theorising to bizhismetrics,,Australian Economic History Review
"Weines J., Borit M.","Better Game Worlds by Design: The GAS Framework for Designing and Analyzing Games Based on Socio-Ecological Systems Thinking, Demonstrated on Nusfjord (2017)",,Games and Culture
"Perreault M.F., Perreault G., Suarez A.",What Does it Mean to be a Female Character in “Indie” Game Storytelling? Narrative Framing and Humanization in Independently Developed Video Games,,Games and Culture
Caponi G.,The Darwinian Turn in the Understanding of Biological Environment,,Biological Theory
Taylan F.,The Rise of the “Environment”: Lamarckian Environmentalism Between Life Sciences and Social Philosophy,,Biological Theory
"Walter T., Ghorbani A., van Andel T.",The emperor’s herbarium: The German physician Leonhard Rauwolf (1535?–96) and his botanical field studies in the Middle East,,History of Science
Scholz L.,A Distant Reading of Legal Dissertations from German Universities in the Seventeenth Century,,Historical Journal
Proctor H.,Astronomers of the inward: on the histories and case histories of Alexander Luria and Oliver Sacks,,Studies in East European Thought
Wilkinson C.,Scandal and Secrecy in the History of the Nineteenth-Century British Empire,,Historical Journal
"Kibler A.K., Andrei E., Salerno A.S.",Attending to the Interactional Histories Behind Multilingual Writers’ Texts: New Directions in TESOL Teacher Education,,TESOL Quarterly
Alvarado Pavez G.,"Language ideologies of emerging institutional frameworks of Mapudungun revitalization in contemporary Chile: Nation, Facebook, and the moon of Pandora",,Multilingua
Heo N.S.,"Racialising Baby Boys: Racial and Gender Politics in Infant Formula Advertisements in Cold War Korea, 1950s–1960s",,Gender and History
Pinheiro L.G.,A Factory Afield: Capitalism and Empire in John Locke's Political Economy,,Modern Intellectual History
Elder R.,White Suits and Kangaroo Kills: Making Men's Careers in American Nursing,,Gender and History
Trafimow D.,"Generalizing across auxiliary, statistical, and inferential assumptions",,Journal for the Theory of Social Behaviour
Photiadou A.J.,The Detention of Non-Enemy Civilians Escaping to Britain during the Second World War,,Historical Journal
Rabinovich E.P.,Two Sisters Family Histories: Self-In-Transit,,Integrative Psychological and Behavioral Science
Bolufer M.,"A Latin American Casanova? Sex, Gender, Enlightenment and Revolution in the Life and Writings of Francisco de Miranda (1750–1816)",,Gender and History
"Webb T., Summerfield P., Riley M., Pearson C.",‘We Cows are in a Very Serious Predicament’: Constructions of Land Girls and Cattle in Britain in the Second World War,,Gender and History
Hartemann G.O.,Unearthing Colonial Violence: Griotic Archaeology and Community-Engagement in Guiana,,International Journal of Historical Archaeology
Arrieta L.,The Basque Heroine Libe and the Nationalist Press (1895–1936),,Gender and History
Lynch D.C.,Xi Jinping Confronts the Network Society,,Modern China
Wake N.,The ‘Hiroshima Maidens’ on Different Shores: Decentralising Scarred Japanese Femininity in the A-Bomb Victimhood,,Gender and History
Rasico P.D.,Auctions and the Making of the Nabob in Late Eighteenth-Century Calcutta and London,,Historical Journal
Leffingwell H.,"‘Our Point of Departure is Feminist’: Féminin Masculin Avenir and the Intersectional Origins of Women's Liberation in France, 1967–1970",,Gender and History
Walter J.,"The 'Recusancy Revolt' of 1603 Revisited, Popular Politics, and Civic Catholicism in Early Modern Ireland",,Historical Journal
Parker A.,"Women, Bridal Girdles, and the Household in Renaissance Prague",,Historical Journal
Middleton A.,"Britain and the Paraguayan Dictatorship, c. 1820-1840",,Historical Journal
Edgar S.,Hermann Cohen on the role of history in critical philosophy,,European Journal of Philosophy
Monger D.,"The Press Bureau, 'D' Notices, and Official Control of the British Press's Record of the First World War",,Historical Journal
Nickelsen K.,Cooperative Division of Cognitive Labour: The Social Epistemology of Photosynthesis Research,,Journal for General Philosophy of Science
Raghunathan R.,"Migrant Intimacies and Ambiguities of Law: The Case of Wife Enticement Among Indians in Colonial Singapore, 1900–1940",,Gender and History
Present P.,Petrus van Musschenbroek (1692–1761) and the early Leiden jar: A discussion of the neglected manuscripts,,History of Science
Thomas R.K.,“Pure” versus “Applied” Psychology: An Historical Conflict between Edward B. Titchener (Pure) and Ludwig R. Geissler (Applied),,Psychological Record
"Schoville B.J., Brown K.S., Wilkins J.",A Lithic Provisioning Model as a Proxy for Landscape Mobility in the Southern and Middle Kalahari,,Journal of Archaeological Method and Theory
Wright A.M.,The Iconography of Connectivity Between the Hohokam World and Its Southern Neighbors,,Journal of Archaeological Research
"Romanowska I., Brughmans T., Bes P., Carrignon S., Egelund L., Lichtenberger A., Raja R.",A Study of the Centuries-Long Reliance on Local Ceramics in Jerash Through Full Quantification and Simulation,,Journal of Archaeological Method and Theory
Reid L.C.,"“It’s Not About Us”: Exploring White-Public Heritage Space, Community, and Commemoration on Jamestown Island, Virginia",,International Journal of Historical Archaeology
"Mihalits D.S., Valsiner J.",Dialectics of Influence: How Agency Works,,Human Arenas
Easterbrook R.,"Shopping Like a Satyr, Styling like a Nymph: Towards a History of Classical Reception in Consumption",,International Journal of the Classical Tradition
Agbamu S.A.A.,The Reception of Petrarch’s Africa in Fascist Italy,,International Journal of the Classical Tradition
"Munson J., Scholnick J.",Wealth and Well-being in an Ancient Maya Community: A Framework for Studying the Quality of Life in Past Societies,,Journal of Archaeological Method and Theory
"Malpass A., Mcguire C., Macnaughton J.",'The body says it': the difficulty of measuring and communicating sensations of breathlessness,,Medical Humanities
"Gifford M.R., Drifke M.A., Tiger J.H., Caldwell R.K.",Shifting Preferences for Choice-Making Opportunities through Histories of Differential Reinforcer Immediacy,,Psychological Record
Scepanski P.,Blackness as Riot Control: Managing Civic Unrest Through Black Appeal Programming and Black Celebrity,,Television and New Media
Justman S.,From blocked flows to suppressed emotions: the life of a trope,,Medical Humanities
Flow C.,Philological Observation,,Modern Intellectual History
Liu Q.,"Reinterpreting the Chinese Revolution: The Balance between Radical and Moderate Approaches, 1937–1945",,Modern China
Roussel J.-F.,Doctrine de la découverte : préciser les enjeux théologiques d’une revendication autochtone,,Studies in Religion-Sciences Religieuses
Zhang H.,Orphans of the Empire: Lhasa’s Chinese Community from the Qing Era to the Early Twentieth Century,,Modern China
Giovannetti-Singh G.,Rethinking the Rites Controversy: Kilian Stumpf's Acta Pekinensia and the Historical Dimensions of a Religious Quarrel,,Modern Intellectual History
Hynninen N.,Moments and mechanisms of intervention along textual trajectories: Norm negotiations in English-medium research writing,,Text and Talk
Balinisteanu T.,"Health, well-being, and material-ideal hybrid spaces in Yeats's writing",,Medical Humanities
"Maldonado C.E., Concha E.V.",A Landmark in the History of Science: H. von Foerster’s Cybernetics of Cybernetics (1974),,Foundations of Science
Facius M.,"A Rankean Moment in Japan: The Persona of the Historian and the Globalization of the Discipline, c.1900",,Modern Intellectual History
"David T., Deschenau A., Raoul Duval C., Caubel J., Laudrin S., Lacarra B., Touzeau D.","Acceptability of the Alcohol, Smoking and Substance Involvement Screening Test (ASSIST) in a routine practice of psychiatry [Acceptabilité du questionnaire Alcohol, Smoking and Substance Involvement Screening Test (ASSIST) pour repérer les consommations de substances psychoactives en pratique courante de psychiatrie]",,Annales Medico-Psychologiques
McNamara J.D.,"Portrayal of the Germani in Latin Textbooks in Germany, 1945–1989",,International Journal of the Classical Tradition
Waldmann F.,"Natural Law and the Chair of Ethics in the University of Naples, 1703-1769",,Modern Intellectual History
Tahar-Djebbar A.,"The Bill Clinton Rationale for Welfare Reform: Examining Implications of Race, Class, and Gender Using Documents",,Journal of Urban History
Rooney S.,The Politics of Commemorating the Woman Suffrage Movement in New York City: On the Women’s Rights Pioneers Monument,,Journal of Urban History
"Cunningham E., Black J.","Healing the Sick City: Local Guides, Visiting Nurses, and Vernaculars of Pain on New York’s Lower East Side",,Journal of Urban History
Allahham A.,The Myth of Islamic Heritage versus Authentic Tradition,,Journal of Urban History
Bohigian S.,"“Not So Much Orwellian as Kafkaesque”: The War on Crime, Information Sharing Systems, and the Limits of Criminal Justice Modernization and Surveillance in Los Angeles County",,Journal of Urban History
"Nicula A.-S., Boțan C.N., Gligor V., Cociș E.-A.","Celebrating the Great Union through Smart Digital Solutions: Lessons from Alba Iulia, Romania",,Journal of Urban History
"Laatar R., Aloulou C., Hadrich Belguith L.",Towards a historical dictionary for Arabic language,,International Journal of Speech Technology
Copeland T.,‘For ever England’: The figurative colonization of Flanders,,"Media, War and Conflict"
Dalley H.,V. S. Naipaul and the worlds of postcolonial realism,,Journal of Commonwealth Literature
Tse K.Y.N.,Queering imperial history: The ethics of reconciliation in Tan Twan Eng’s The Gift of Rain,,Journal of Commonwealth Literature
Roque R.,"The Latin stranger-science, or l’anthropologie among the Lusitanians",,History of Science
Ratti M.,"Writing the village, becoming the nation: The work of Manoj Das",,Journal of Commonwealth Literature
Walsh S.,The executioner’s shadow: Coerced sterilization and the creation of “Latin” eugenics in Chile,,History of Science
Di Ceglie R.,"Divine Providence, Divine Hiddenness, and Commitment to the Good",,TheoLogica
"Fantoni G., Paoli M., Rotondi A.",Representations of 'Italian populism' in film,,Modern Italy
"Addo A.O., Adu J.",Examining the Use of Folk Resources for Creative Arts Education in Ghana’s Basic Schools,,International Journal of Education and the Arts
Wang W.,"Falstaff and the Tradition of Memento Mori [福斯塔夫与""铭记死亡""传统]",,Foreign Literature Studies
Wang J.,The Animality and National Allegory in Richard III's Deformity [论理查三世畸形身体中的动物他性和国体隐喻],,Foreign Literature Studies
Lougheed B.C.,USING SEDIMENTOLOGICAL PRIORS TO IMPROVE 14C CALIBRATION OF BIOTURBATED SEDIMENT ARCHIVES,,Radiocarbon
Ceceña J.R.,"Games, Music and Ludus Melothedicus",,Leonardo
"Yu L., Yan H.","Teaching of Western Literature and New Literature in Modem China: A Case Study of English Education at St. John's University, Shanghai [西方文学教育与近代中国新文学 ,,,以上海圣约翰大学英语教育为例]",,Theoretical Studies in Literature and Art
Lizhe X.,"The Criticism of Fortress Besieged between 1946 and 1949 and Its Significance in the History of Modern Chinese Literature [!转折""之际与!经典""之前# @BVW'@BVB 年的(围城)批评及其文学史意义]",,Theoretical Studies in Literature and Art
Chen J.,"On the Translation of ""the Sublime"": Also on the Difference between the Chinese and the Western Conceptions of Mountains [从!崇高""的翻译说起 ,,,兼论中西山峦意象的差异]",,Theoretical Studies in Literature and Art
"Roger P., Zhenzhen G., Zhuo Y.",The Eternal Return of Camus [加缪的永恒回归],,Theoretical Studies in Literature and Art
Li M.,"Disputes over the Concept of ""Literary Study"" in Pre-tertiary Education in the Early Years of the Republic of China [民国初年初等学校教育的!文学""纠葛]",,Theoretical Studies in Literature and Art
Zhang Y.,The Origin and System of Modern French Aesthetics: A Reinvestigation Based on the Literature [论法国现代美学的缘起与体系性],,Theoretical Studies in Literature and Art
"Fradera J.M., Stopes H.",(Re)writing world history in the 19th century [Écrire (à nouveau) l'histoire du monde au XIXe siècle],,Revue d'Histoire du XIXe Siecle
"Drzewiecki M., Ryndziewicz R., Ciesielska J., Kurcz M., Michalik T., Czyżewska-Zalewska E.",The spatial organisation of Soba: A medieval capital on the Blue Nile,,Antiquity
"Serafin S., Masson M.A., Peraza Lope C., Kennett D.J., George R.J.",Social Identity and Dental Modification at the Postclassic Maya Urban Centre of Mayapan,,Cambridge Archaeological Journal
"Samuels J.T., Cohen S., Johnson T., Moses V., Naglak M., Opitz R., Banducci L., D'Acri M., Motta L., Rittershaus A., Stewart E.","Reimagining urban success: Rhythms of activity at Gabii, 800 BC-AD 600",,Antiquity
"Seiler G., Weber T.",Reichenbach meets underspecification,,Journal of Historical Linguistics
Stratton J.M.,Old English intensifiers,,Journal of Historical Linguistics
Mester B.,Visual Representation of the Intellectuals and Philosophers in the Hungarian Reform Era (1825–1848) [Vengrijos reformų eros (1825–1848) intelektualų ir filosofų vizualinė reprezentacija],,"Filosofija, Sociologija"
"Richmond M., Barahona A.","Erratum to: Women in Early Human Cytogenetics: An Essay on a Gendered History of Chromosome Imaging,” in the special issue, “Heredity and Evolution in an Ibero-American Context” (Perspectives on Science (2020) 28 (2): 170–200 (10.1162/posc_a_00337))",,Perspectives on Science
"Heath S., Hall B.L., Denton G.H., Henderson G.M., Hendy C.H.","Ice-sheet expansion from the Ross Sea into McMurdo Sound, Antarctica, during the last two glaciations",,Quaternary Science Reviews
"Di Rita F., Ghilardi M., Fagel N., Vacchi M., Warichet F., Delanghe D., Sicurani J., Martinet L., Robresco S.",Natural and anthropogenic dynamics of the coastal environment in northwestern Corsica (western Mediterranean) over the past six millennia,,Quaternary Science Reviews
"Sánchez-Morales M., Pèlachs A., García-Codron J.C., Carracedo V., Pérez-Obiol R.","Landscape dynamics and fire regime since 17,550 cal yr BP in the Cantabrian region (La Molina peat bog, Puente Viesgo, Spain)",,Quaternary Science Reviews
"Köhler A., Wanger-O'Neill A., Rabiger-Völlmer J., Herzig F., Schneider B., Nebel S., Werban U., Pohle M., Kreck M., Dietrich P., Werther L., Gronenborn D., Berg S., Zielhofer C.","A hydrological tipping point and onset of Neolithic wetland occupation in Pestenacker (Lech catchment, S Germany)",,Quaternary Science Reviews
Juárez-Dappe P.,"Family Canon: The Politics of Family during the Last Civic-Military Dictatorship in Argentina, 1976-83",,Journal of Latin American Studies
de la Calle Vian L.,"THE ARTISTIC INDUSTRIES IN SPAIN IN THE 20TH CENTURY. GENERALISSIMO FRANCO FOUNDATION, GUILDS FOUNDATION, NEW GUILDS FOUNDATION: CONTRIBUTIONS TO THE HISTORY OF A SPANISH ARTISTIC COMPANY [LAS INDUSTRIAS ARTÍSTICAS EN LA ESPAÑA DEL SIGLO XX. FUNDACIÓN GENERALÍSIMO FRANCO, FUNDACIÓN DE GREMIOS, NUEVA FUNDACIÓN DE GREMIOS: APORTACIONES A LA HISTORIA DE UNA EMPRESA ARTÍSTICA ESPAÑOLA]",,Res Mobilis
Arnold-Forster T.,"Rethinking the Scopes Trial: Cultural Conflict, Media Spectacle, and Circus Politics",,Journal of American Studies
Yee D.,"Forging Mixtec Identity in the Mexican Metropolis: Race, Indigenismo and Mixtec Migrant Associations in Mexico City, 1940-70",,Journal of Latin American Studies
"Tichenor S.E., Constantino C., Yaruss J.S.",A Point of View About Fluency,,"Journal of speech, language, and hearing research : JSLHR"
Kampourakis K.,"MICHEL MORANGE: The Black Box of Biology: A History of the Molecular Revolution, Cambridge, MA: Harvard University Press, 2020",,History and philosophy of the life sciences
Wang P.-H.,'The words has been immigrate': Chronotopes in context-shaping narrative co-construction about Taiwanese loanwords with Taiwanese Americans,,Language in Society
Maccaferri M.,Populism and Italy: A theoretical and epistemological conundrum,,Modern Italy
de Castro R.V.,Spain and Morocco: From the Disaster of Annual to Primo de Rivera's dictatorship (1921-1930). An Introduction [ESPAÑA Y MARRUECOS: DEL DESASTRE DE ANNUAL A LA DICTADURA DE PRIMO DE RIVERA (1921-1930). INTRODUCCIÓN],,Hispania Nova
Sánchez D.B.,Analysis Perspectives from local view. Logics of violence in a toledan village (1936-1942) [PERSPECTIVAS DE ANÁLISIS DESDE LO LOCAL. LÓGICAS DE LA VIOLENCIA EN UN PUEBLO TOLEDANO (1936-1942)],,Hispania Nova
López B.B.,Falangist women at Francoist University Feminine Section of the Spanish University Union [MUJERES FALANGISTAS EN LA UNIVERSIDAD FRANQUISTA. LA SECCIÓN FEMENINA DEL SINDICATO ESPAÑOL UNIVERSITARIO (1939-1965)],,Hispania Nova
Pack S.D.,"A GENERAL, A COLONIAL CRISIS, AND A NATIONALIST SCHISM: PRIMO DE RIVERA AND THE GAULLIST PARADIGM [Un general, una crisis colonial y un cisma nacionalista: Primo de Rivera y el paradigma gaullista]",,Hispania Nova
"Fernández-Paradas M., Rodríguez-Martín N.","History of the Spanish Federation of the Gas, Electricity and similar industries Workers and its newsletter, La Turbina [HISTORIA DE LA FEDERACIÓN DE OBREROS DE LA INDUSTRIA DEL GAS, ELECTRICIDAD Y SIMILARES DE ESPAÑA Y DE SU ÓRGANO DE EXPRESIÓN, LA TURBINA]",,Hispania Nova
Álvarez J.M.,Filming at the Rif: 1907-1927. Images from and for a Colonial Time [FILMAR EN EL RIF: 1907-1927. IMÁGENES DE Y PARA UN TIEMPO COLONIAL],,Hispania Nova
Bajo M.G.,The unique history of a trickster Riffian and a clever General. Manuel Galbán Jiménez and his Disaster of Annual (1921) [LA SINGULAR HISTORIA DE UN RIFEÑO EMBAUCADOR Y UN GENERAL AVISPADO: MANUEL GALBÁN JIMÉNEZ Y SU DESASTRE DE ANNUAL (1921)],,Hispania Nova
Rodríguez A.N.,"Tiempos Nuevos. Socialism, science and technology during the Second Republic [LA REVISTA TIEMPOS NUEVOS. SOCIALISMO, CIENCIA Y TÉCNICA EN LA SEGUNDA REPÚBLICA]",,Hispania Nova
Gálvez J.C.M.,"Francoist repression, genocidal violence or coercive violence? An analysis from the local history in southwestern Spain [LA REPRESIÓN FRANQUISTA, ¿VIOLENCIA GENOCIDA O VIOLENCIA COERCITIVA? UN ANÁLISIS DESDE LA HISTORIA LOCAL EN EL SUROESTE PENINSULAR]",,Hispania Nova
Hernández O.D.,Atlantida magazine (1963-1972) [LA REVISTA ATLÁNTIDA (1963-1972)],,Hispania Nova
"Zubeldia C.N., Crespo J.Z.",Armed Forces and Society in a Spain in crisis: Security and defence policy of Minister Cospedal (2016-2018) [LAS FUERZAS ARMADAS Y LA SOCIEDAD EN UNA ESPAÑA EN CRISIS: LA POLÍTICA DE SEGURIDAD Y DEFENSA DE COSPEDAL (2016-2018)],,Hispania Nova
Ratti E.,"Philipp Fischer, Gabriele Gramelsberger, Christoph Hoffmann, Hans Hofmann, Hans-Jorg Rheinberger, Hannes Rickli, Natures of Data: A Discussion Between Biology, History and Philosophy of Science and Art, Zurich: Diaphanes, 2020",,History and philosophy of the life sciences
McInnis J.C.,"a ""reorder of things"" in black studies: sacred praxis, phono(geo)graphy, and the counter-archive of diaspora",,Comparative Literature Studies
Shen S.,rethinking the history of chinese empires from the sinophone south,,Comparative Literature Studies
Ten Hagen S.L.,History as a Tool for Natural Science: How Ernst Mach Applied Historical Methods to Physics,,Historical Studies in the Natural Sciences
"Sichani A.-M., Hendy D.",Connected Histories of the BBC: Opening up the BBC Oral History Archive to the Digital Domain,,Journal on Computing and Cultural Heritage
Solomon J.L.,"Guest Editor’s Introduction: Japanese Imperialism, Modernity, and Korean History",,International Journal of Korean History
de Benedittis A.,Discontinuities and Discrepancies in the Hybridization Process of Nangnang Culture,,International Journal of Korean History
"Rantala H., Jokipii I., Ikkala E., Hyvönen E.",WarVictimSampo 1914-1922: A National War Memorial on the Semantic Web for Digital Humanities Research and Applications,,Journal on Computing and Cultural Heritage
"Noble L., Vavassori V., Crookham A., Dunn S.",Networking the Archive: The Stories and Structures of Thos. Agnew's Stock Books,,Journal on Computing and Cultural Heritage
"Bruno A.L., Kim K.",The Conundrum of Queen Min’s Portrait: a Denied or Partial Identity?,,International Journal of Korean History
Koo D.,“Petticoat Fever” Driven by Chosŏn Korea Garments: Exploring a “fad” in Early Ming China and Its Implications for Regional Interactions between the Chosŏn and Ming Dynasties,,International Journal of Korean History
Fuchs F.,Decoding Aesop: Blumenberg’s Fabulistic Turn,,New German Critique
Tuǧ B.,Female Culpability for Fornication in Ottoman Law and Everyday Life,,International Journal of Middle East Studies
Botwinick A.,"Gibt es unauflösbare Widersprüche, denen sich das Ideal der Textkohärenz anpassen muss?",,Deutsche Zeitschrift fur Philosophie
Park H.O.,The Politics of Time: The Sewǒl Ferry Disaster and the Disaster of Democracy,,Journal of Asian Studies
Thomasson F.,"Black Healers, Surgeons and 'Witches': Medicine, Mobility and Knowledge Exchange in Swedish St Barthélemy 1785-1815",,Social History of Medicine
[No author name available],"Corrigendum to ‘The Heliocentric Path of the Moon’ (Journal for the History of Astronomy, (2021), 52, 4, (462–490), 10.1177/00218286211049618)",,Journal for the History of Astronomy
Reames R.,The Apostrophic Subject,,Rhetorica - Journal of the History of Rhetoric
[No author name available],"Erratum to ‘A Reading Guide for Bruno’s On the Infinite’ (Journal for the History of Astronomy, (2021), 52, 3, (366–367), 10.1177/00218286211022072)",,Journal for the History of Astronomy
Sbaraini E.,"The Ageing Body, Memory-Loss and Suicide in Georgian England",,Social History of Medicine
Reynolds M.,The Sururgia of Nicholas Neesbett: Writing Medical Authority in Later Medieval England,,Social History of Medicine
"Jaffe Y., Campbell R., Shelach-Lavi G.","Shimao and the Rise of States in China Archaeology, Historiography, and Myth",,Current Anthropology
Jackson J.,"Archives, Memories, and Masks in Writing the History of the French Resistance The Case of Daniel Cordier",,French Historical Studies
Escolano-Poveda M.,Astrologica athribitana: Four demotic-hieratic horoscopes from Athribis (O. Athribis 17-36-5/1741 and ANAsh.Mus.D.O.633 reedited),,Journal for the History of Astronomy
Ellis M.,Philip Yorke and Thomas Birch: Scribal News in the Mid 18th Century*,,Parliamentary History
Davis L.,"Inscripting Rebellion: The Newdigate Manuscript Newsletters, Printed Newspapers and the Cultural Memory of the 1715 Rising*",,Parliamentary History
[No author name available],Society for the History of Alchemy and Chemistry Award Scheme 2022,,Ambix
Luesakul P.,Geocriticism and the exploration of Mexico City-Tenochtitlán in Carlos Fuentes’ Where the Air is Clear,,GEMA Online Journal of Language Studies
Luzecky R.,Deleuze’s Elaboration of Eternity: Ontogenesis and Multiplicity,,Deleuze and Guattari Studies
"Zahra T., Abbas A.",Corpus-Driven Analysis of Pakistani Newspaper Editorials on COVID-19 Discourse,,GEMA Online Journal of Language Studies
O’rawe D.,"Plays and Fragments: Antigone, Film, Modernity",,Modernist Cultures
Harris I.,"THE AUTHENTICATION OF BURKE’S REFLECTIONS: CHURCH, MONARCHY AND UNIVERSITIES, 1790–1791",,History of Political Thought
Mithen N.,POLITICS AS MODERATION IN MACHIAVELLI,,History of Political Thought
Tennyson T.T.,CICERO’S ROMULUS AND THE CRAFTING OF HISTORICAL EXEMPLA,,History of Political Thought
"Cuschieri S., Calleja N., Mamo J.",Health Inequities Exist in Europe: Are Spatial Health Inequities Present in the Small State of Malta?,,SAGE Open
