Authors,Title,Discipline,Source title
"Escudero-Mancebo D., Corrales-Astorgano M., Cardeñoso-Payo V., Aguilar L., González-Ferreras C., Martínez-Castilla P., Flores-Lucas V.",PRAUTOCAL corpus: a corpus for the study of Down syndrome prosodic aspects,,Language Resources and Evaluation
"Di Rosa R.T., Tumminelli G.","Diversification of diversity: Migrations, cultural pluralism and urban transformations in Palermo (Italy): a case study",,Current Sociology
Mondémé C.,Why study turn-taking sequences in interspecies interactions?,,Journal for the Theory of Social Behaviour
"Archakis A., Tsakona V.",“It Is Necessary to Try Our Best to Learn the Language”: a Greek Case Study of Internalized Racism in Antiracist Discourse,,Journal of International Migration and Integration
DeVore J.,Between shame and a shared world: Toward a democratized theory of heterodoxical awareness,,Anthropological Theory
Secades Gómez A.,Modal Qualification and the Speech-Act of Arguing in LNMA: Practical Aspects and a Theoretical Issue,,Argumentation
"Knudsen M., Larsson M.",The deep organisation: The organisational view in a public management and leadership development programme,,Teaching Public Administration
Guzman-Orozco H.,"Multi-Centered Worlds, Limited Accessibility and Ways of Believing",,Philosophia (United States)
"Kokje E., Celik S., Wahl H.-W., von Stutterheim C.",Can discourse processing performance serve as an early marker of Alzheimer’s disease and mild cognitive impairment? A systematic review of text comprehension,,European Journal of Ageing
"Tankosić A., Dovchin S.",Monglish in post-communist Mongolia,,World Englishes
"Manzi C., Adorni R., Di Cicco G., Milano V., Manunta E., Montermini F., Becker M., Steca P.",Implicit and Explicit Attitudes toward Hearing Aids: The Role of Media Language,,Journal of Language and Social Psychology
"Ahn E.S., Smagulova J.",English language choices in Kazakhstan and Kyrgyzstan,,World Englishes
"Zhunussova G., Cortazzi M., Jin L.",Roles and models of English teachers in Kazakhstan,,World Englishes
Hasanova D.,The linguistic landscape of Bukhara and Tashkent in the post-Soviet era,,World Englishes
Djuraeva M.,"Multilingualism, nation branding, and the ownership of English in Kazakhstan and Uzbekistan",,World Englishes
"Hopkyns S., Van Den Hoven M.",Linguistic diversity and inclusion in Abu Dhabi's linguistic landscape during the COVID-19 period,,Multilingua
Garrido M.R.,"Multilingualism, nationality and flexibility: Mobile communicators' careers in a humanitarian agency",,Multilingua
Riskedahl D.,Transgressive Arabic discourse in Lebanese political protest,,Multilingua
"Kraftl P., Andrews W., Beech S., Ceresa G., Holloway S.L., Johnson V., White C.",Geographies of education: A journey,,Area
"Yue Y., Wu C.",Epistemic stance in the translations of Chinese medicine classics: A case study of Huang Di Nei Jing,,Text and Talk
"Fu R., Wang K.",Hedging in interpreted and spontaneous speeches: A comparative study of Chinese and American political press briefings,,Text and Talk
"Khalid U., Okafor L.E., Sanusi O.I.",Exploring Diverse Sources of Linguistic Influence on International Tourism Flows,,Journal of Travel Research
"Leotti S.M., Sugrue E.P., Winges-Yanez N.",Unpacking the worlds in our words: Critical discourse analysis and social work inquiry,,Qualitative Social Work
"Dippold D., Heron M., Gravett K.",International students’ linguistic transitions into disciplinary studies: a rhizomatic perspective,,Higher Education
Cornelio-Marí E.,Watching Dubbed Television: Audiences in Italy and Mexico,,Television and New Media
"Gates T.G., Ross D., Bennett B., Jonathan K.",Teaching Mental Health and Well-Being Online in a Crisis: Fostering Love and Self-compassion in Clinical Social Work Education,,Clinical Social Work Journal
Huo S.,Bridging the Gap between the Meaning of Natural Language and Mental Content,,Integrative Psychological and Behavioral Science
"Freeman M.R., Blumenfeld H.K., Carlson M.T., Marian V.",First-language influence on second language speech perception depends on task demands,,Language and Speech
Mensah E.O.,He looks so cute: The discourse of heterosexual relationship initiation by female youth in Nigeria,,Sexualities
MacLellan J.,The storying of birth,,Health (United Kingdom)
El Mouhayar R.,Triadic dialog in multilingual mathematics classrooms as a promoter of generalization during classroom talk,,Mathematics Education Research Journal
"Block D., Corona V.","Critical LPP and the intersection of class, race and language policy and practice in twenty first century Catalonia",,Language Policy
Ecker M.B.,Talking American in the Midwest: Linguistic diversity and authenticity in the twentieth-century United States,,Journal of American Studies
"McPherson L., Winter Y.",Editorial: Surrogate Languages and the Grammar of Language-Based Music,,Frontiers in Communication
"Schuring M., Zenner E.",English from Scratch: Preadolescents’ Developing Use of English Lexical Resources in Belgian Dutch,,Frontiers in Communication
"Tulloch S., Moore S., Lane J., Townley S., Dicker J., Boase D., Adams E.",Community-Anchored Assessment of Indigenous Second Language Learning in K-12 Schools,,Frontiers in Education
Caishu Z.,New Media Literary Speetaele and the Materiality of Literature [新媒介文学景观与文学的物质性],,Theoretical Studies in Literature and Art
Hui T.,Modem Aesthetic Symptoms in among the Flowers and Lois Fusek's Poeties of Equivalent Translation [(花间集)的现代审美症候与福瑟克的对等译介诗学],,Theoretical Studies in Literature and Art
"Albana M.J., Yeşiltaş M.","Impact of linguistic ostracism on knowledge sharing, hiding and hoarding and the moderating role of cultural intelligence",,Kybernetes
Salö L.,The spatial logic of linguistic practice: Bourdieusian inroads into language and internationalization in academe,,Language in Society
"D'Onofrio A., Stecker A.",The social meaning of stylistic variability: Sociophonetic (in)variance in United States presidential candidates' campaign rallies,,Language in Society
Leddy-Cecere T.,"Indexicality, semanticity and contact along the now < this time pathway",,Journal of Historical Linguistics
Sibeko J.,A COMPARATIVE ANALYSIS OF THE LINGUISTIC COMPLEXITY OF GRADE 12 ENGLISH HOME LANGUAGE AND ENGLISH FIRST ADDITIONAL LANGUAGE EXAMINATION PAPERS,,Per Linguam
"Ben-Zion D., Gabitov E., Prior A., Bitan T.",Effects of Sleep on Language and Motor Consolidation: Evidence of Domain General and Specific Mechanisms,,Neurobiology of Language
"Al-Wer E., Horesh U., Alammar D., Alaodini H., Al-Essa A., Al-Hawamdeh A., Al-Qahtani K., Hussain A.A.",Probing linguistic change in Arabic vernaculars: A sociohistorical perspective,,Language in Society
Chiu M.-C.,Word order variation in Chinese existential constructions with V-măn: A corpus-based analysis,,Asia-Pacific Language Variation
Alvanoudi A.,Polar answers and epistemic stance in Greek conversation,,Pragmatics
"Heredia A.A.L.C., Dickerson B., Lau E.",Towards Understanding Sustained Neural Activity Across Syntactic Dependencies,,Neurobiology of Language
Sankaran L.,Sri Lankan Tamil experiences of the home-land and host-land: The interaction between language and diasporic identity,,Language in Society
Kapo I.,The Rising of “Alblish” (Albanian + English)—Data Collection and Analysis of Anglicisms in the Albanian Language,,Frontiers in Communication
"Ballarè S., Inglese G.",The development of locative relative markers: From typology to sociolinguistics (and back),,Studies in Language
White N.M.,Grammaticalization and phonological reidentification in White Hmong,,Studies in Language
"Glaspey A.M., Wilson J.J., Reeder J.D., Tseng W.-C., MacLeod A.A.N.",Moving Beyond Single Word Acquisition of Speech Sounds to Connected Speech Development With Dynamic Assessment,,"Journal of speech, language, and hearing research : JSLHR"
"Alighieri C., Bettens K., Bruneel L., Perry J., Hens G., Van Lierde K.",One Size Doesn't Fit All: A Pilot Study Toward Performance-Specific Speech Intervention in Children With a Cleft (Lip and) Palate,,"Journal of speech, language, and hearing research : JSLHR"
"Sandberg C.W., Blanchette F., Lukyanenko C.",Comprehension of Vernacular Features in Aphasia,,"Journal of speech, language, and hearing research : JSLHR"
"Minga J., Fromm D., Jacks A., Stockbridge M.D., Nelthropp J., MacWhinney B.",The Effects of Right Hemisphere Brain Damage on Question-Asking in Conversation,,"Journal of speech, language, and hearing research : JSLHR"
Persohn B.,Non-culmination in two Bantu languages,,Studies in Language
"Nefaa A., Boutora L., Gala N.",Preliminary Considerations on the Development of a Bicultural Trilingual Education Model for Deaf Children in the Tunisian Context,,Frontiers in Education
"Olmedo A.B., Juan-Garau M.",Linguistic Transgression in Society as Seen Through Spanish Linguistic Landscapes [La transgresión lingüística en la sociedad vista a través de paisajes lingüísticos de España],,Oceanide
"Bodt T.A., List J.-M.",Reflex prediction A case study of Western Kho-Bwa,,Diachronica
Kavroulaki E.,“Congratulations! You just won the title for ‘worse Tinder opening line’” Inappropriate behaviour and impoliteness in online dating,,Journal of Language Aggression and Conflict
"Oskolskaya S., Koile E., Robbeets M.",A Bayesian approach to the classification of Tungusic languages,,Diachronica
"Kunnath S.N., Herrmannova D., Pride D., Knoth P.",A meta-analysis of semantic classification of citations,,Quantitative Science Studies
"Rüdiger S., Mühleisen S.",Introduction Formality and informality in online performances,,Internet Pragmatics
"Dayter D., Messerli T.C.",Persuasive language and features of formality on the r/ChangeMyView subreddit,,Internet Pragmatics
Kaneyasu M.,Multimodal strategies for balancing formality and informality The role of kaomoji in online comment-reply interactions,,Internet Pragmatics
Kováčová D.,Becoming #Instafamous The analysis of (in)formality in self-presentation on Instagram,,Internet Pragmatics
Cassin B.,"Sophistik, Performanz, Performativ",,Deutsche Zeitschrift fur Philosophie
"Finkel R., Kaufman D., Shamim A.",Analyzing Code-mixing in Linguistic Corpora Using Kratylos,,Journal on Computing and Cultural Heritage
Aricanli S.,Continuities in State-Society Interactions across Broad Spatio-temporal Realms: Gong Tingxian as Both an Author of Popular Medical Texts and an Imperial Medical Secretary in Early Modern China,,Social History of Medicine
"Berlian M., Mujtahid I.M., Vebrianto R., Thahir M.",Multiple intelligences mapping for tutors in Universitas Terbuka,,Cakrawala Pendidikan
Dalvit G.,"New Names for the Old Sacristy of the Siena Hospital: Pseudo-Scripts, Hidden Signatures, and the Ludic Self",,Art History
"Delicado-Puerto G., Alonso-Díaz L., Fielden Burns L.V.","Teaching Students, Creating Teachers: Focusing on Future Language Teachers and their Education for Bilingual Classrooms",,TESL-EJ
"Khany R., Kamalvand A.",100 Years of Research on English Language Learning/Teaching Materials: A Systematic Literature Review,,TESL-EJ
"Pung W.C., Ho A.P.",A Comparative Study on Online Advice-Seeking Strategies between Malaysian and Australian Women,,GEMA Online Journal of Language Studies
"Romero Parra R.M., Barboza Arenas L.A., Espina-Romero L.C., Garcés Rosendo E.J., Rodríguez Ángeles C.H.",Effects of a Neuroscience-Based Instructional Guide on College Student Learning,,"International Journal of Learning, Teaching and Educational Research"
"Pura C.M., Gustilo L., Biermeier T.",How the Pandemic Fuels Linguistic Change: Lexical Innovations in L1 and L2 English Varieties,,GEMA Online Journal of Language Studies
"Zahra T., Abbas A.",Corpus-Driven Analysis of Pakistani Newspaper Editorials on COVID-19 Discourse,,GEMA Online Journal of Language Studies
Gregersen T.,Where Psychology Meets Language Learning: Exploring the Positive Nexus,,Chinese Journal of Applied Linguistics
Yan M.,China English and College Intercultural Education: A Cultural Linguistic Perspective,,Chinese Journal of Applied Linguistics
"Solhdoost M., Pargoo M.",Iran’s Nontraditional Security Challenges under the Taliban Rule,,Global Policy
"Drury M., Fuller J., Keijzer M.",Biodiversity communication at the UN Summit 2020: Blending business and nature,,Discourse and Communication
"Ren C., Bloemraad I.",New Methods and the Study of Vulnerable Groups: Using Machine Learning to Identify Immigrant-Oriented Nonprofit Organizations,,Socius
Shapiro M.,Language as semiosis: A neo-structuralist perspective in the light of pragmaticism,,Chinese Semiotic Studies
"Van Den Besselaar P., Mom C.",The effect of writing style on success in grant applications,,Journal of Informetrics
Guasparri A.,The Roman classification and nomenclature of aquatic animals: An annotated checklist (with a focus on ethnobiology),,Anthropozoologica
"He H., Dong X.","Semiotics, language, and law: The linguistic turn in Western jurisprudence",,Chinese Semiotic Studies
"Fischer E., Engelhardt P.E., Herbelot A.",Philosophers’ linguistic expertise: a psycholinguistic approach to the expertise objection against experimental philosophy,,Synthese
Ayyad E.,Re-Evaluating Early Memorization of the Qurʾān in Medieval Muslim Cultures,,Religions
"Cowley S.J., Gahrn-Andersen R.",Simplexifying: Harnessing the power of enlanguaged cognition,,Chinese Semiotic Studies
Lu D.,Crossing in linguistic communication,,Chinese Semiotic Studies
"Zhu Q., Ren W.",Memes and emojis in Chinese compliments on Weibo,,Chinese Semiotic Studies
Lu D.,"Introduction to the special section ""communication and meaning-making""",,Chinese Semiotic Studies
Shapiro L.,What is logical deflationism? Two non-metalinguistic conceptions of logic,,Synthese
Seglenieks C.,"The Rhetoric of Matthean ""small Faith""",,Zeitschrift fur die Neutestamentliche Wissenschaft und die Kunde der Alteren Kirche
Abdullah A.-S.,Fādil Al-Samarra’ī’s Contribution to Literary and Rhetorical Exegesis of the Qur’an,,Religions
Chriti M.,A New Direction in Neoplatonic Linguistics: Aristotle as an Adherent of a ‘Specialist Name-Giver’ by Ammonius of Hermeias,,Religions
"López-Leyva J.A., Ponce-Camacho M.Á., Valadez-García A., Ramos-García V.M., Mena-Ibarra H.N.",Entrepreneurship Intentions Analysis of Mexican University Students Using an Artificial Neural Network to Promote Sustainable Businesses: An Interdisciplinary Perspective,,Sustainability (Switzerland)
Ramsey R.E.,Individual differences in word senses,,Cognitive Linguistics
"Xu H., Jiang M., Lin J., Huang C.-R.",Light verb variations and varieties of Mandarin Chinese: Comparable corpus driven approaches to grammatical variations,,Corpus Linguistics and Linguistic Theory
"Hodge G., Goico S.A.",Natural and elicited: Sign language corpus linguistics and linguistic ethnography as complementary methodologies,,Journal of Sociolinguistics
"Casado B., Urretabizkaia L., Begiristain-Zubillaga M., Martinez Z.",Strengthening Agroecology with the Political Pedagogy of Peasant Organisations: A Case Study of Baserritik Mundura in the Basque Country,,Sustainability (Switzerland)
König M.,Esperanto in the Interwar Period. A Cosmopolitan Project on Trial [Esperanto in der Zwischenkriegszeit. Ein kosmopolitisches Projekt auf dem Prüfstand],,Historische Zeitschrift
"Hill V., Irimia M.A.",Differential subject marking through SE,,Linguistic Review
"Nghi T.T., Phuc T.H.",A Corpus-Based Study on the Most Frequently Used English Prepositions: A Conceptual Transfer Perspective,,Theory and Practice in Language Studies
"He Y., Liu J., Wang J.",Translation Model and Dissemination of Contemporary Chinese Ethnic Literal Works Into the World: An Analysis on English Translation of The Last Quarter of the Moon by American Translator Bruce Humes*,,Theory and Practice in Language Studies
"Sangeetha J., Mohan S., Hariharasudan A., Kannan R.",An Analysis of Linguistic Discourses and Literary Techniques in Meena Kandasamy’s Select Works,,Theory and Practice in Language Studies
Alshamari M.R.,Grammaticalisation of ʔelħi:n in Haili Arabic-From Propositional Item to Discourse Particle: Split CP Investigation,,Theory and Practice in Language Studies
Chen R.S.Y.,Improvisations in the embodied interactions of a non-speaking autistic child and his mother: Practices for creating intersubjective understanding,,Cognitive Linguistics
"Pantazopoulou E.-J., Polychroni F., Diakogiorgi K., Georgiou V.L.",Accuracy and consistency in morphological spelling: evidence from Greek-speaking children with and without spelling difficulties,,Reading and Writing
"Huang B.H., Bedore L.M., Ramírez R., Wicha N.",Contributions of Oral Narrative Skills to English Reading in Spanish–English Latino/a Dual Language Learners,,"Journal of Speech, Language, and Hearing Research"
"Maassen B.A.M., Krikhaar E., van der Leij A., Fikkert P.",Early Productive Vocabulary Composition as Precursor of Dyslexia,,"Journal of Speech, Language, and Hearing Research"
"Kusters A., Lucas C.",Emergence and evolutions: Introducing sign language sociolinguistics,,Journal of Sociolinguistics
"Palfreyman N., Schembri A.",Lumping and splitting: Sign language delineation and ideologies of linguistic differentiation,,Journal of Sociolinguistics
"Farooq D., Moslem S.",Estimating Driver Behavior Measures Related to Traffic Safety by Investigating 2-Dimensional Uncertain Linguistic Data—A Pythagorean Fuzzy Analytic Hierarchy Process Approach,,Sustainability (Switzerland)
Snoek C.,From 'clubs' to 'clocks': Lexical semantic extensions in Dene languages,,Cognitive Linguistics
"Djordjevic M.Z., Djordjevic A., Klochkova E., Misic M.",Application of Modern Digital Systems and Approaches to Business Process Management,,Sustainability (Switzerland)
Burke M.,Language and style in The Gruffalo,,Language and Literature
"Misra S., Tankasala N., Yusuf Y., Rao T., Paul A., Khan S., Singh S.",Health Implications of Racialized State Violence Against South Asians in the USA,,Journal of Racial and Ethnic Health Disparities
"Larina T., Ponton D.M.","I wanted to honour your journal, and you spat in my face: Emotive (im)politeness and face in the English and Russian blind peer review",,Journal of Politeness Research
"Casaleiro T., Martins H., Caldeira S.",Validation of the Brief RCOPE in Portuguese Family Caregivers of Adults with Health Conditions,,Religions
Wang L.,Collective Belonging or Individual Calling: Language and Ethnic Identity of Minorities in China,,Comparative Education Review
"Chedid G., Sfeir M., Mouzawak M., Saroufim L., Hayek P., Wilson M.A., Brambati S.M.","A Standardized Set of 380 Pictures for Lebanese Arabic: Norms for Name Agreement, Conceptual Familiarity, Imageability, and Subjective Frequency",,Journal of Psycholinguistic Research
"Saeed A., Hayat M.F., Habib T., Ghaffar D.A., Qureshi M.A.",A novel multi-speakers Urdu singing voices synthesizer using Wasserstein Generative Adversarial Network,,Speech Communication
Dalton E.,Naming with Many Names: Reimagining Origins in Marie de France’s Lais,,Modern Philology
"Nedeljković M., Puška A., Suzić R., Maksimović A.",Multicriteria Model of Support for the Selection of Pear Varieties in Raising Orchards in the Semberija Region (Bosnia and Herzegovina),,Sustainability (Switzerland)
Martínez Vera G.,"Revisiting aspectual se in Spanish: Telicity, statives, and maximization",,Linguistic Review
"Pérez-Ramón R., García Lecumberri M.L., Cooke M.",Foreign accent strength and intelligibility at the segmental level,,Speech Communication
"Čermáková A., Mahlberg M.",Gendered body language in children’s literature over time,,Language and Literature
Moody S.J.,"Multimodality, interactional competence, and the ‘intercultural’ in achieving intercultural service encounters in Japan",,Journal of Pragmatics
"Burke M., Coats K.",Stylistics and children’s literature,,Language and Literature
Daugs R.,"English modal enclitic constructions: A diachronic, usage-based study of 'd and 'll",,Cognitive Linguistics
Jourdain M.,The emergence of Information Structure in child speech: The acquisition of c'est-clefts in French,,Cognitive Linguistics
Gotham M.,"Property Inheritance, Deferred Reference and Copredication",,Journal of Semantics
Rickert M.,Singing in semiotic assemblages. Pre-schoolers' use of songs in interaction,,"Learning, Culture and Social Interaction"
"Fallas-Escobar C., Pentón Herrera L.J.",Examining raciolinguistic struggles in institutional settings: A duoethnography,,Linguistics and Education
Vuorsola L.,Peer interaction practices as part of a Sweden Finnish spatial repertoire,,Linguistics and Education
"Aiello E.N., Grosso M., Di Liberto A., Andriulo A., Buscone S., Caracciolo C., Ottobrini M., Luzzatti C.",Disembodying language: Actionality does not account for verb processing deficits in Parkinson's disease,,Journal of Neurolinguistics
"Puhacheuskaya V., Järvikivi J.",I was being sarcastic!: The effect of foreign accent and political ideology on irony (mis)understanding,,Acta Psychologica
"Balconi M., Fronda G.",Autonomic system tuning during gesture observation and reproduction,,Acta Psychologica
Segal A.,When the student is the ‘problem’ and the teacher is not the solution: Teacher professional identity in an era of accountability and personalized instruction,,"Learning, Culture and Social Interaction"
Neal J.W.,Social development quartet: Benefits of intergroup connections: Examining associations between peer networks and academic and socio-emotional competencies of diverse youth,,Social Development
Gawda B.,The Differentiation of Narrative Styles in Individuals with High Psychopathic Deviate,,Journal of Psycholinguistic Research
Kutrovátz G.,Anatomical identifications of stars: Textual descriptions in Ptolemy's star catalogue,,Studies in History and Philosophy of Science
"Stoehr A., Benders T., van Hell J.G., Fikkert P.",Feature generalization in Dutch–German bilingual and monolingual children’s speech production,,First Language
"Molloy Elreda L., Kibler A.K., Johnson H.E., Williams J.L.",Academic development and disparities in linguistically diverse middle school classrooms: The role of social network equality and linguistic integration,,Social Development
"Alomari M., Li F., Hogg D.C., Cohn A.G.",Online perceptual learning and natural language acquisition for autonomous robots,,Artificial Intelligence
Jo C.W.,Mapping adolescent literacy across L1 backgrounds: Linguistic and discourse features as predictors of persuasive essay quality,,System
"Bohmann A., Ahlers W.",Stance in narration: Finding structure in complex sociolinguistic variation,,Journal of Sociolinguistics
"Kopp T., Baumgartner M., Kinkel S.",How Linguistic Framing Affects Factory Workers' Initial Trust in Collaborative Robots: The Interplay Between Anthropomorphism and Technological Replacement,,International Journal of Human Computer Studies
Wang X.,Sound symbolism in Chinese children's literature,,Cognitive Linguistics
"Troyan F.J., Herazo J.D., Ryshina-Pankova M.",SFL pedagogies in language education: Special issue introduction,,System
Candarli D.,"Linguistic characteristics of online academic forum posts across subregisters, L1 backgrounds, and grades",,Lingua
"Kim H., Sung J.E., Jeong J.H.",Non-transcription analysis of connected speech in mild cognitive impairment using an information unit scoring system,,Journal of Neurolinguistics
"Jensen J.L., Karell D., Tanigawa-Lau C., Habash N., Oudah M., Fairus Shofia Fani D.",Language Models in Sociological Research: An Application to Classifying Large Administrative Data and Measuring Religiosity,,Sociological Methodology
Davison A.,"Multiculturalism, Social Distance and “Islamophobia”: Reflections on Anti-racism Research in Australia and Beyond",,Society
"Zhang X., Zhou P.",Linguistic cues facilitate children’s understanding of belief-reporting sentences,,First Language
Michell J.,Denying Descartes and wary of Wittgenstein: Response to Franz,,Theory and Psychology
"Tamássy R., Géring Z.",Rich variety of DA approaches applied in social media research: A systematic scoping review,,Discourse and Communication
"Derawi H., Reinisch E., Gabay Y.",Increased reliance on top-down information to compensate for reduced bottom-up use of acoustic cues in dyslexia,,Psychonomic Bulletin and Review
"Lee J.-G., Lee K.M.",Polite speech strategies and their impact on drivers’ trust in autonomous vehicles,,Computers in Human Behavior
Hamdi S.A.,Mining ideological discourse on Twitter: The case of extremism in Arabic,,Discourse and Communication
"Xiao J., Wang X., Zhang H.",Exploring the Ordinal Classifications of Failure Modes in the Reliability Management: An Optimization-Based Consensus Model with Bounded Confidences,,Group Decision and Negotiation
"Bigand E., Tillmann B.",Near and far transfer: Is music special?,,Memory and Cognition
"Vingron N., Furlani N., Mendelson O., Titone D.",I see what you mean: Semantic but not lexical factors modulate image processing in bilingual adults,,Memory and Cognition
Mitchell N.,Duelling contexts: How action misalignment leads to impoliteness in a courtroom,,Journal of Politeness Research
Troutman D.,Sassy Sasha?: The intersectionality of (im)politeness and sociolinguistics,,Journal of Politeness Research
"Pham T., Archibald L.M.D.",The role of phonological and semantic representations in verbal short-term memory and delayed retention,,Memory and Cognition
LaFleur G.,Desire/Desirability: Gender Asymmetries in Heterosexual Erotic Attention,,Symbolic Interaction
Bassetti B.,"Language and counterfactual reasoning in Chinese, English and ChineseL1-EnglishL2 reasoners",,International Journal of Bilingualism
"Tovares A., Kulbayeva A.",Performing friendship in a lab setting: Advice in troubles talk between friends,,Journal of Sociolinguistics
"Hwang S.H.J., Cappella E., Kieffer M.J., Yates M.",“Let's hang out!”: Understanding social ties among linguistically diverse youth in urban afterschool programs,,Social Development
"Bonin P., Laroche B., Méot A.",Psycholinguistic norms for a set of 506 French compound words,,Behavior Research Methods
"Ho T.T., Pham G.T., Dam Q.",Reading attitudes in Vietnam: Initial study of the early school years,,Reading and Writing
"Incognito O., Scaccioni L., Pinto G.","The impact of a music education program on meta-musical awareness, logical-mathematical, and notational skills in preschoolers",,International Journal of Music Education
"Luhmann J., Burghardt M.",Digital humanities—A discipline in its own right? An analysis of the role and position of digital humanities in the academic landscape,,Journal of the Association for Information Science and Technology
"Bassetti B., Filipović L.",Researching language and cognition in bilinguals,,International Journal of Bilingualism
"Marczyk A., Ghio A., Lalain M., Rebourg M., Fredouille C., Woisard V.",Optimizing linguistic materials for feature-based intelligibility assessment in speech impairments,,Behavior Research Methods
"Nicoladis E., Gao H.H.",How bilinguals refer to Mandarin throwing actions in English,,International Journal of Bilingualism
"Albornoz L.A., García Leiva M.T.",Netflix Originals in Spain: Challenging diversity,,European Journal of Communication
"Smith K.E., Plumb A.M., Sandage M.J.",Speech-Language Pathologists’ Knowledge of Spanish-Influenced English and Dialectical Differences: A Survey,,Communication Disorders Quarterly
Brown L.,"Politeness as normative, evaluative and discriminatory: The case of verbal hygiene discourses on correct honorifics use in South Korea",,Journal of Politeness Research
Donaghue H.,Teachers and supervisors negotiating face during critical account requests in post observation feedback,,Journal of Politeness Research
Gasparri L.,Lexical innovation and the periphery of language,,Linguistics and Philosophy
Krawatzek F.,Remembering a Contentious Past: Resistance and Collaboration in the Former Soviet Union,,East European Politics and Societies
"Agovino M., Bevilacqua M., Cerciello M.",Language as a proxy for cultural change. A contrastive analysis for French and Italian lexicon on male homosexuality,,Quality and Quantity
"Morris N.S., Nnaji C., Sarkis M.",“Was Test Designed for Africans?” Health Literacy and African Immigrants,,Journal of Racial and Ethnic Health Disparities
Erdemir E.,Uncovering Community Cultural Wealth Through an Early Intervention Program: Syrian Refugee Children Speaking,,Early Childhood Education Journal
"Lindsay A.C., Le Q., Nogueira D.L., Tavares Machado M.M., Greaney M.L.","Healthcare Providers’ Advice About Gestational Weight Gain, Diet, and Exercise: a Cross-Sectional Study with Brazilian Immigrant Women in the USA",,Journal of Racial and Ethnic Health Disparities
"Liang Y., Schartner A.",Culturally Mixed Group Work and the Development of Students’ Intercultural Competence,,Journal of Studies in International Education
"Martinez-Rodriguez J.L., Lopez-Arevalo I., Rios-Alvarado A.B.",Mining information from sentences through Semantic Web data and Information Extraction tasks,,Journal of Information Science
"Reynolds B.L., Yu M.H.",Using English as an International Language for Fluency Development in the Internationalised Asian University Context,,Asia-Pacific Education Researcher
Keiser J.,Language without information exchange,,Mind and Language
"Newen A., Starzak T.",How to ascribe beliefs to animals,,Mind and Language
Caesar L.G.,Speech-Language Pathologists’ Perceptions of Pre-Service Knowledge and Skill Training in Early Intervention,,Communication Disorders Quarterly
"Barley W.C., Dinh L., Workman H., Fang C.",Exploring the Relationship Between Interdisciplinary Ties and Linguistic Familiarity Using Multilevel Network Analysis,,Communication Research
Hwang H.,Syntactico-semantic realizations of pronouns in the English transitive construction: A corpus-based analysis,,Corpus Linguistics and Linguistic Theory
"Degaetano-Ortlieb S., Teich E.",Toward an optimal code for communication: The case of scientific English,,Corpus Linguistics and Linguistic Theory
"McConnell K., Blumenthal-Dramé A.",Effects of task and corpus-derived association scores on the online processing of collocations,,Corpus Linguistics and Linguistic Theory
Staes S.,Nomadic Narrators and Transnational Transcripts. Valeria Luiselli's Los ingrávidos and Paloma Vidal's Más al sur [Narradoras nómadas y transcripciones transnacionales. Los ingrávidos de Valeria Luiselli y Más al sur de Paloma Vidal],,Revista Letral
"Mora F.A., Lynch A.",Latinx Perceptions of Literary Language Crossings: The Linguistic Challenge of (Post)Modernity in the United States [Percepciones latinxs del cruce lingüístico en textos literarios: el reto de la (pos)modernidad en los Estados Unidos],,Revista Letral
Gasparini P.,“Nowhere mother tongue”: Sylvia Molloy and the (Latin American) living between languages [“En ningún lugar lengua materna”: Sylvia Molloy y el (latinoamericano) vivir entre lenguas],,Revista Letral
de Souza L.S.,"Gender, Identity and Multilingualism in Recent Chicana Writing [Género, identidad y multilingüismo en la escritura chicana reciente de autoría femenina]",,Revista Letral
Mohr S.,Investigating English in Multilingual Contexts Online: Identity Construction in Geotagged Instagram Data,,Frontiers in Communication
"Brookes G., McEnery T., McGlashan M., Smith G., Wilkinson M.",Narrative evaluation in patient feedback : A study of online comments about UK healthcare Services,,Narrative Inquiry
Chałupnik M.,"Storying selves and others at work Story ownership, tellership and functions of narratives in a workplace domain",,Narrative Inquiry
"Pauls L.J., Archibald L.M.D.",Cognitive and Linguistic Effects of Working Memory Training in Children With Corresponding Deficits,,Frontiers in Education
"Stolz T., Levkovych N.",Areal Linguistics within the Phonological Atlas of Europe: Loan Phonemes and their Distribution,,Areal Linguistics within the Phonological Atlas of Europe: Loan Phonemes and their Distribution
"Taipale I., Laitinen M.",Individual Sensitivity to Change in the Lingua Franca Use of English,,Frontiers in Communication
Brunner T.,Into-causatives in World Englishes,,English World-Wide
"Oenbring R., Klumm M.",The trappings of order :Linguistic features of Anglophone Caribbean administrative writing,,English World-Wide
Coons C.,Nominal Word Order Typology in Signed Languages,,Frontiers in Communication
"Lu X., Martens B., Sayer P.",Examining social class and multilingualism through the Linguistic Landscape A methodological proposal,,Linguistic Landscape
Nguyen A.K.,"Degrees of authenticity : Emulation, hybridity, and place-making in Vietnamese landscapes",,Linguistic Landscape
Strange L.,The intersection of nation and gender in the Linguistic Landscape of Ireland's Eighth Amendment referendum campaign,,Linguistic Landscape
"Li Y., Lee H., Choi B.",Developing beginning language learners' (meta-)cultural understanding via studentled Linguistic Landscape research,,Linguistic Landscape
